GitAuthor,ProjectName,CommitID,CommitMessage,Lsof ModifiedFiles
duxuhao,duxuhao/Feature-Selection,42523625187e59866eb827f6bc84e31f9272995c,"add modulus in README
",[]
duxuhao,duxuhao/Feature-Selection,54fb56dfde92dd89f6ccea3a1844471221947d57,"add multiprocessing method and filldf function
",['README.md']
duxuhao,duxuhao/Feature-Selection,edf3551930995e14b40a16120c4db64e2aa1f3a1,"select feature each round chunk by chunk
",['Example/README.md']
duxuhao,duxuhao/Feature-Selection,e0d015ea25623889bc0fbdd2015b894bae86ca79,"complete fill dataset after multiple levels cross terms
","['MLFeatureSelection/README.md', 'MLFeatureSelection/__init__.py', 'MLFeatureSelection/sequence_selection.py', 'README.md', 'setup.py']"
duxuhao,duxuhao/Feature-Selection,6036e58960447aedbe612166c913135f90b00d93,"add SetFeatureEachRound in sequence_selection to speed up selecting
","['MLFeatureSelection/check_length.py', 'MLFeatureSelection/__init__.py', 'MLFeatureSelection/sequence_selection.py', 'MLFeatureSelection/tools.py', 'README.md', 'setup.py']"
duxuhao,duxuhao/Feature-Selection,5cbbf137cd981335f0a1b65463038013154a2ab5,"Merge branch 'master' of https://github.com/duxuhao/Feature-Selection

test
",['README.md']
duxuhao,duxuhao/Feature-Selection,90e7fddb8ddfe5d6a7d4215e516fc21aa1b80f12,"add SetFeatureEachRound in sequence_selection to speed up selecting
","['README.md', '_config.yml']"
Xuhao Du (Peter),duxuhao/Feature-Selection,612aa115bd1dbee52567daa5826464ecaa61f187,Update README.md,"['.travis.yml', 'MLFeatureSelection/README.md', 'MLFeatureSelection/__init__.py', 'MLFeatureSelection/sequence_selection.py', 'README.md', '_config.yml', 'setup.py']"
Xuhao Du (Peter),duxuhao/Feature-Selection,a8fda19732519519142631bc92679cab01631979,Set theme jekyll-theme-minimal,['README.md']
duxuhao,duxuhao/Feature-Selection,355274d459f8e01d93a857f1f3d3bb4e637e66a5,"jupyter notebook example
",['_config.yml']
duxuhao,duxuhao/Feature-Selection,3cde163f5ed78116fb2b4e04d8203f7c6bc736c5,"jupyter notebook example
",['README.md']
duxuhao,duxuhao/Feature-Selection,c9be9a1bd5d9f65ffccdb82a1754531f1e0c09ea,"algorithms details
","['Demo.ipynb', 'Example/Speech_Intelligibility/CRS.csv', 'Example/Speech_Intelligibility/Demo.ipynb', 'Demo.py', 'Algorithms_Graphs/README.md', 'MLFeatureSelection/__init__.py', 'MLFeatureSelection/coherence_selection.py', 'README.md', 'README.rst']"
duxuhao,duxuhao/Feature-Selection,fac67b0ea3e636a31b826e3f962703fbe588e18d,"fix indent bug
","['Algorithms_Graphs/README.md', 'Algorithms_Graphs/coherence_selection.png', 'Algorithms_Graphs/importance_selection.png', 'Example/README.md', 'MLFeatureSelection/README.md', 'Procedure0.png', 'MLFeatureSelection/__init__.py', 'README.md', 'setup.py']"
duxuhao,duxuhao/Feature-Selection,a9047ec60d24a9039e894b2bf217984466954e46,"fix bug
","['MLFeatureSelection/sequence_selection.py', 'README.md']"
Xuhao Du (Peter),duxuhao/Feature-Selection,f88ee86371e70a9bc8ad40a7022058af0d0233a6,Update README.md,"['MLFeatureSelection/FeatureSelection.py', 'MLFeatureSelection/coherence_selection.py', 'MLFeatureSelection/importance_selection.py', 'MLFeatureSelection/sequence_selection.py', 'README.rst']"
Xuhao Du (Peter),duxuhao/Feature-Selection,2911d58dd216b0593076e24998010d3635fb2bbd,Update README.md,['README.md']
Xuhao Du (Peter),duxuhao/Feature-Selection,1e66b89129be9461cd74b0774e471a7a42f45d16,"Merge pull request #10 from JepsonWong/master

 fixed sequence_selection bug!",['README.md']
JepsonWong,duxuhao/Feature-Selection,d3e0624a8ebe1cb06d732117bed91c1d9de8f29f,"fixed sequence_selection bug! object of type bool has no len().
",[]
JepsonWong,duxuhao/Feature-Selection,91c3ceb85d437534db4e83b974897567051ad69d,"fixed sequence_selection bug! object of type bool has no len().
","['MLFeatureSelection/__init__.pyc', 'MLFeatureSelection/sequence_selection.pyc', 'example/titanic/record2.log', 'example/titanic/Select.py']"
Xuhao Du (Peter),duxuhao/Feature-Selection,b7ca9c7a8b5600356ede6bafe98a73a92ccb0b4b,Set theme jekyll-theme-hacker,"['MLFeatureSelection/__init__.pyc', 'MLFeatureSelection/sequence_selection.pyc', 'example/titanic/record2.log', 'MLFeatureSelection/sequence_selection.py', 'example/titanic/Select.py']"
Xuhao Du (Peter),duxuhao/Feature-Selection,2e88353cae7bde49e219d2f29d9d18d5fa82d696,Update README.md,['_config.yml']
duxuhao,duxuhao/Feature-Selection,5282576f8f603ac50ccf817b88bd338a731f5779,"update README
",['README.md']
duxuhao,duxuhao/Feature-Selection,1d306f396bcd5d63db474364f4aec1e9d800ae9a,"update README
",['README.md']
duxuhao,duxuhao/Feature-Selection,29d78aab4b00e4ebc2c1fe11ead26c26d4146957,"update README
",['README.md']
duxuhao,duxuhao/Feature-Selection,bc036413a37f2f0d2bf3654fdc2d2313c6ffd2ac,"update demo
",['README.md']
duxuhao,duxuhao/Feature-Selection,8ba8bf4600bb5b02ce3a3cced9805581135d6f48,"update demo
","['README.md', 'example/JData2018/S1elect.py']"
duxuhao,duxuhao/Feature-Selection,06681fe7213cb4544f2fb1c05d60033245cdd9b6,"update readme
","['Demo.py', 'record.log', 'README.md', 'example/IJCAI-2018/demo_IJCAI_2018.py', 'example/JData2018/S1elect.py', 'example/JData2018/S2elect.py', 'example/titanic/Select.py']"
duxuhao,duxuhao/Feature-Selection,5cfa34ab36311d227ae8b16e434c0fe79921f406,"update readme
","['README.rst', 'README.md']"
duxuhao,duxuhao/Feature-Selection,c3b15daf4884a6e3c3a3508b479e879b60b1ff5e,"update readme
",['README.md']
duxuhao,duxuhao/Feature-Selection,b59af09193608aa91c1934583f518a54d191ae8c,"update readme
",['README.md']
duxuhao,duxuhao/Feature-Selection,13e4c833ddb2d2bc21f982d47cb1ef118bde3d17,"fix importance_selection bug
","['MLFeatureSelection/tools.py', 'example/IJCAI-2018/README.md', 'setup.py', 'MLFeatureSelection/__init__.py', 'MLFeatureSelection/coherence_selection.py', 'MLFeatureSelection/sequence_selection.py', 'README.md']"
duxuhao,duxuhao/Feature-Selection,47b1a21c960ab552713d862f4fc45a1aae7f03b1,"modify correlation calculation
",['MLFeatureSelection/importance_selection.py']
duxuhao,duxuhao/Feature-Selection,03536a20137d46327e16db9e12f8c312684721f9,"add correlation function
",['MLFeatureSelection/coherence_selection.py']
duxuhao,duxuhao/Feature-Selection,5b5c61092d6ce59cbe2319c5316b12a4ee35034c,"add correlation function
","['MLFeatureSelection/coherence_selection.py', 'MLFeatureSelection/importance_selection.py', 'MLFeatureSelection/sequence_selection.py']"
duxuhao,duxuhao/Feature-Selection,e18ff24efe8c4b006dbd62c8489909abef9e8727,"update readme with new function and plan
","['MLFeatureSelection/coherence_selection.py', 'MLFeatureSelection/__init__.py', 'MLFeatureSelection/importance_selection.py', 'README.md']"
duxuhao,duxuhao/Feature-Selection,4f50a0cf77f3abd8065f0554d4f431947094ce89,"update readme with new function and plan
",['README.md']
duxuhao,duxuhao/Feature-Selection,932759923c8c36051b1365e15dcb63266ab668fb,"update readme with new function and plan
","['demo_IJCAI_2018.py', 'README.md']"
duxuhao,duxuhao/Feature-Selection,37987b83d36d8f605b5ceeca88e330ad235b40f7,"alpha version for removing features by features importance
",['README.md']
duxuhao,duxuhao/Feature-Selection,3aad3e5fd3ecf29d65dcdee530a76ac32d932fc8,"fix bugs including demo selectstep and record only when score within 0 and 1
","['MLFeatureSelection/importance_selection.py', 'MLFeatureSelection/sequence_selection.py', 'README.md']"
Xuhao Du (Peter),duxuhao/Feature-Selection,2d8359208428e25342d230bb6d0e14f16b405b09,Update README.md,"['MLFeatureSelection/FeatureSelection.py', 'demo_IJCAI_2018.py']"
Xuhao Du (Peter),duxuhao/Feature-Selection,819ab167dd05f2d55c10f1efaa429659d4b6d13d,"Merge pull request #8 from Ewen2015/master

Update README",['README.md']
Xuhao Du (Peter),duxuhao/Feature-Selection,48084913337564f765b3b5c0ad4072054b38c413,Merge branch 'master' into master,[]
Xuhao Du (Peter),duxuhao/Feature-Selection,6c1d5a4f3cd7ab236cc786f526646702529c2e8c,Update README.md,"['MLFeatureSelection/FeatureSelection.py', 'README.md']"
Ewen Wang,duxuhao/Feature-Selection,e64b4189eac956bbdf1d3a2cf467c47d5b746bf2,"fixed _MyRandom 

broken if any bestfeature not in columnname","['MLFeatureSelection/FeatureSelection.py', 'README.md']"
